Main City,Name,Address,City,Postal Code,Longitude,Latitude,Description,Approx Price (€),Time Allotted,Types,Image
Paris,Eiffel Tower,"Champ de Mars, 5 Avenue Anatole France",Paris,75007,2.2945,48.8584,Iconic wrought-iron lattice tower on the Champ de Mars,28 (adult summit access),,Landmark|Architecture,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg/500px-Tour_Eiffel_Wikimedia_Commons_%28cropped%29.jpg
Paris,Louvre Museum,Rue de Rivoli,Paris,75001,2.3378,48.8606,World's largest art museum and historic monument,17,,Museum|Art|History,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q7vxH06Mx5ujWyKt8UmAlHEjpfd5rYXsRJGbXj86bBeqO0zSWgKWud4TNiwX4cpZyBrO-EUDH9xJZ3DBvFqw6lKMVEL3Ug-MjeIj4-panciFHixfu3MFMXXiGq0lHVrKgfKlWHF5ZvXLiArrMtHW2EyCGbO1LCVHL7eScSi1kcs_uVN&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Paris,Notre Dame Cathedral,6 Parvis Notre-Dame - Pl. Jean-Paul II,Paris,75004,2.3499,48.852,"Medieval Catholic cathedral, considered one of the finest examples of French Gothic architecture",Free (admission),,Religious Site|Architecture|History,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q6uQXVx3qFgdZKbrRYJ061Vol0H-3GqVjphM0jQpSUiXTe4ezWQ7uV84xzdDezdJ9fu6o-elVh8bh99Pt-yqoMkyiX-SfREPkThPAp7ZMNdnC2fZRdFzwL_EU5j9nc8tra0fdxHJ5Sv9VacEqir3QKoI4GrhfG-12RzaEzLqF04oIBg&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Paris,Arc de Triomphe,Place Charles de Gaulle,Paris,75008,2.2963,48.8738,"One of the most famous monuments in Paris, standing at the western end of the Champs-Élysées",13,,Landmark|Architecture|History,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Arc_de_Triomphe%2C_Paris_21_October_2010.jpg/500px-Arc_de_Triomphe%2C_Paris_21_October_2010.jpg
Paris,Palace of Versailles,Place d'Armes,Versailles,78000,2.1201,48.8014,"Lavish royal palace and gardens, former residence of French royalty",20 (Palace ticket),,Palace|History|Architecture|Gardens,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d2/Versailles-Chateau-Jardins02.jpg/500px-Versailles-Chateau-Jardins02.jpg
Paris,Musée d'Orsay,1 Rue de la Légion d'Honneur,Paris,75007,2.3266,48.86,"Museum housed in a former railway station, displaying mainly French art from 1848 to 1914",16,,Museum|Art|History,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7c/Mus%C3%A9e_d%27Orsay%2C_North-West_view%2C_Paris_7e_140402.jpg/500px-Mus%C3%A9e_d%27Orsay%2C_North-West_view%2C_Paris_7e_140402.jpg
Paris,Sacré-Coeur Basilica,35 Rue du Chevalier de la Barre,Paris,75018,2.3428,48.8867,"Roman Catholic church and minor basilica, dedicated to the Sacred Heart of Jesus",Free (admission),,Religious Site|Architecture,https://maps.googleapis.com/maps/api/place/photo?maxwidth=500&photoreference=AXCi2Q5hPCNMuUfbk4OdL7sT2S-pgu0NLPp4REwumuiFZ6qYMCY-oy2GZql4YPACx66tOyqpJ9dXObFOgp0YprBJx5F6L8DLdE3fUruf5qcJh-m6jPkOtezyTa_LtX5GL3U0-KxdfvcmG_ArGBVW95EsjwKLeI26Zh-utF5fhGQGtnVE_B1m&key=AIzaSyCy1pjkl6GQGWZv-PQLfh0aD_A16mnMNfs
Paris,Sainte-Chapelle,10 Boulevard du Palais,Paris,75001,2.344,48.8556,"Royal chapel in the Gothic style, noted for its stained glass",11.5,,Religious Site|Architecture|History,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Sainte_Chapelle_-_Upper_level_1.jpg/500px-Sainte_Chapelle_-_Upper_level_1.jpg
Paris,Panthéon,Place du Panthéon,Paris,75005,2.3458,48.8462,Mausoleum containing the remains of distinguished French citizens,11.5,,Landmark|Architecture|History,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Pantheon_of_Paris_007.JPG/500px-Pantheon_of_Paris_007.JPG
Paris,Jardin du Luxembourg,Rue de Médicis - Rue de Vaugirard,Paris,75006,2.3364,48.8482,"Beautiful public gardens, popular with both locals and tourists",Free,,Park|Nature,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/LuxembourgMontparnasse.JPG/500px-LuxembourgMontparnasse.JPG
